acadm_term	acadm_year	authorize_p	authorize_r	authorize_using	brief_eng	cancel	chn_name	class_name	classes	comment	counter	counter_exceptAuth	course_avg	course_code	course_group	course_kind	credit	deleteQ	dept_chiabbr	dept_code	dept_engfull	dept_group	dept_group_name	emi	eng_name	eng_teach	exp_hours	fillcounter	for_query	form_s	form_s_name	full_flag	gender_restrict	hours	iCounter	intensive	limit	limit_count_h	moocs_teach	not_choose	option_code	percentage	restrict	rt	school_avg	scoreEnt	selfTeach	selfTeachName	send_time	serial_no	status	tcode	teacher	time_inf	tname	umd	week_section1	week_section2	week_section3	week_section4	generalCore
3	113	0	0.00				職業教育與訓練暨生涯規劃（教） </br>[ 學分學程：國際教師學程-華語文 國際教師學程-數學 國際教師學程-物理 國際教師學程-國際 ]			◎第1期  ◎第二類課程 【第一期】				00UE102		半	1.0		師培學院	EU					Vocational Education Training and Career Planning </br>[ Program: The Program of International Baccalaureate Educator Certificate-Chinese Language Education The Program of International Baccalaureate Educator Certificate-International  Mathematics Education The Program of International Baccalaureate Educator Certificate-International  Physics  Education The Program of International Baccalaureate Educator Certificate-International Education ]											Y	0	48			必		◎限 一階生 二階生 教育學程生 不佔名額生 登記修習生 國小教育學程生 國小不佔名額生 可修	N						0014			徐秀婕	◎密集課程							
3	113	0	0.00				兒童繪畫心智發展（小教）			◎第1期  ◎第二類課程  【第一期】				00UE520		半	2.0		師培學院	EU					Children's Drawing Mental Development											Y	0	50			選		◎限 國小教育學程生 國小不佔名額生 可修	N						0016			盧姵綺	◎密集課程							
3	113	10	0.20				DP的教與學（IB） </br>[ 學分學程：國際教師學程-華語文 國際教師學程-數學 國際教師學程-物理 ]	大碩	9	◎第1期  ◎第二類課程 ◎數位課程   【Summer Session 1】    All distance learning courses display synchronous learning time only				IBC9005		半	3.0		師培學院	EU					Teaching and Learning in the DP (IB) </br>[ Program: The Program of International Baccalaureate Educator Certificate-Chinese Language Education The Program of International Baccalaureate Educator Certificate-International  Mathematics Education The Program of International Baccalaureate Educator Certificate-International  Physics  Education ]	是										Y	0	50			選		◎初選 國際教師學程-華語文 國際教師學程-數學 國際教師學程-物理 研究生得下修◎限國際教師學程-華語文、國際教師學程-數學、國際教師學程-物理選修 ◎必須先修過【IBC9004  IB哲學與實作（IB）】、【IBU0001  IB哲學與實作（IB）】其中一門	1						0017			West-pratt, Jordan	◎面授/同步							
3	113	10	0.20				MYP的教與學（IB） </br>[ 學分學程：國際教師學程-國際 ]	大碩	9	◎第1期  ◎第二類課程 ◎數位課程    【Summer Session 1】  Instructor: Katherine Khan.    All distance learning courses display synchronous learning time only				IBC9006		半	3.0		師培學院	EU					Teaching and Learning in the MYP (IB) </br>[ Program: The Program of International Baccalaureate Educator Certificate-International Education ]	是										Y	0	50			選		◎初選 國際教師學程-國際 研究生得下修◎限國際教師學程-國際選修◎必須先修過【IBC9004  IB哲學與實作（IB）】、【IBC9007  課程發展與設計（IB）】、【IBC9008  學習評量（IB）】	1						0018			Katherine Elisabeth,	◎面授/同步							
3	113	0	0.00				科技倫理			◎第1期  ◎第一類課程  【第一期】				05UG011		半	2.0		通識	GU					Technology Ethics											Y	0	50			通			N						0019			劉啟民	◎密集課程							A2
3	113	0	0.00				心理學 </br>[ 學分學程：肌力與體能學程 音樂輔教學程 ]			◎第1期  ◎第一類課程  【Summer Session 1】				0AUG402		半	2.0		通識	GU					Psychology </br>[ Program: The Program of Strength and Conditioning The Program of Music-assisted Guidance and Special Education ]											Y	0	50			通			N						0020			朱采翎	◎密集課程							A2/B1
3	113	13	0.26				光電系統量測專題研究	碩博	8	◎第2期  ◎第二類課程 【Summer Session 2】				OEC8129		半	3.0		光電所（碩）	HM77					Special Topics on Electro-optical System Measurement	是										Y	0	50			選		◎必須先修過【OEC9002  物理光學】、【OEC9001  幾何光學】 ◎課程開放上修	N						0021			楊承山	◎密集課程							
3	113	10	0.20				電漿子光學原理與應用	碩博	8	◎第2期  ◎第二類課程 【第二期】				OEC8165		半	3.0		光電所（碩）	HM77					Principles and Applications of Plasmonics											Y	0	50			選		◎課程開放上修	N						0022			邱南福	◎密集課程							
3	113	10	0.20				科技英文報告	大碩	9	◎第2期  ◎第二類課程 【第二期】上課地點:應用科學大樓B1-MFC教室				OEC9003		半	2.0		光電學位學程（學）	HU77					Introduction to English Scientific Reports											Y	0	50			選		◎必須先修過【OEC9001  幾何光學】、【OEC9002  物理光學】	N						0023			楊承山	◎密集課程							
3	113	10	0.20				光電系統設計	大碩	9	◎第2期  ◎第二類課程 【第二期】				OEC9007		半	3.0		光電學位學程（學）	HU77					Design of Photonics System											Y	0	50			選			N						0024			呂杰翰	◎密集課程							
3	113	5	0.10				集水區經營 </br>[ 學分學程：環境監測學程 ]			◎第1期  ◎第二類課程 【第一期】				GEU0178		半	3.0		地理系（學）	LU23					Watershed Management </br>[ Program: The Program of Environmental Monitoring and Disaster Mitigation ]											Y	0	50			選			N						0026			廖學誠	◎密集課程							
3	113	0	0.40				東亞的永續發展			◎第1期  ◎第二類課程 ◎數位課程 【Summer Session 1】All distance learning courses display synchronous learning and face-to-face learning time only.				GEU0253		半	1.0		地理系（學）	LU23					Sustainable Development in East Asia	是										Y	0	50			選			2						0027			莫家俊	◎面授/同步							
3	113	5	0.10				產業實習	大碩博	7	◎全期  ◎第二類課程   【全期】    選課前請先與開課老師詢問相關實習細節。				BIC7002		半	3.0		生科系（學）	SU43					Industrial Practice											Y	0	50			選			N						0030			謝秀梅	◎密集課程							
3	113	10	0.33				細胞及分子生物學實驗			◎第1期  ◎第二類課程  【第一期】				BIU0159		半	2.0		生科系（學）	SU43					laboratory Course for Cellular and Molecular Biology					3	三					Y	0	30			選		◎必須先修過【BIU0172  普通生物學實驗甲（一）】、【BIU0144  生物化學實驗】、【BIU0143  生物化學】	N						0031			蘇銘燦 孫智雯 王麗婷 陳?均	◎密集課程							
3	113	0	0.00				空間資訊技術實務（二） </br>[ 學分學程：空間學程 ]			◎全期  ◎第二類課程 【全期】				PGU3005		半	3.0		空間學程	ZU9B					Spatial Information Technology Practice (II) </br>[ Program: The Program of Geospatial Information Science ]											Y	0	50			選		◎必須先修過【PGU3004  空間資訊技術實務（一）】	N						0035			陳哲銘 王聖鐸 吳秉昇 陳瑩	◎密集課程							
3	113	15	0.30				產業蹲點與實作	大碩	9	◎第2期  ◎第二類課程 【第二期】				OEC9115		半	3.0		光電學位學程（學）	HU77					Industrial Camps and Implementation											Y	0	50			選		◎必須先修過【OEC8116  奈米磁性物理及其應用（一）】、【OEC8117  奈米磁性物理及其應用（二）】	N						0037			謝振傑	◎密集課程							
3	113	10	0.20				水域休閒運動（一）			◎第1期  ◎第一類課程   【第一期】				PEU0306		半	2.0		體育系（學）	AU30					Aquatic Recreation Activity (I)											Y	0	50			選			N						0040			鄭國輝	◎密集課程							
3	113	10	0.20				運動心理學 </br>[ 學分學程：運動傷害防護學程 ]			◎第2期  ◎第一類課程 【第二期】				FPU0013		半	2.0		競技系（學）	AU32					Sports Psychology </br>[ Program: The Program of Injury Prevention and Athletic Training ]											Y	0	50			必			N						0041			洪聰敏	◎密集課程							
3	113	10	0.20				體育測驗與評量			◎第1期  ◎第一類課程 【第一期】				FPU0239		半	2.0		競技系（學）	AU32					Measurement and Evaluation in Physical Education											Y	0	50			選			N						0042			劉錦璋	◎密集課程							
